,neighborhood,mean_x
0,Allerton,1625.0
1,Arden Heights,2099.274673261271
2,Astoria,1883.333333333333
3,Auburndale,1916.666666666667
4,Bath Beach,2133.333333333333
5,Battery Park City,3121.333333333333
6,Bay Ridge,1965.666666666667
7,Bayside,2000.0
8,Bedford Park,1679.333333333333
9,Bedford-Stuyvesant,1941.666666666667
10,Beekman/Sutton Place,3838.333333333333
11,Bellerose,1989.795620437956
12,Belmont,1841.795620437956
13,Bensonhurst,2498.333333333333
14,Bergen Beach,1806.462287104623
15,Blissville,1873.128953771289
16,Boerum Hill,2498.666666666667
17,Borough Park,1724.0
18,Bowery,2783.0
19,Briarwood,1729.333333333333
20,Brighton Beach,1883.333333333333
21,Broadway Corridor,3598.333333333333
22,Bronx Park,2149.462287104623
23,Brooklyn Heights,2633.333333333333
24,Brooklyn Navy Yard,3913.333333333333
25,Brookville,2099.274673261271
26,Brownsville,1811.0
27,Bulls Head,1531.462287104623
28,Bushwick,1993.666666666667
29,Canarsie,1816.666666666667
30,Carnegie Hill,3706.666666666667
31,Carroll Gardens,2525.0
32,Castle Hill,2115.941339927938
33,Castleton Corners,1815.941339927938
34,Central Harlem,2126.666666666667
35,Central Park,3116.0
36,Central Park West,4397.0
37,Chelsea,3469.0
38,Chinatown,2683.333333333333
39,City Island,1989.795620437956
40,Civic Center,2992.666666666667
41,Clason Point,1833.333333333333
42,Clearview,1939.795620437956
43,Clinton Hill,2383.333333333333
44,Co-Op City,1874.274673261271
45,Cobble Hill,2300.0
46,College Point,1866.462287104623
47,Concord,1739.795620437956
48,Concourse,1702.333333333333
49,Concourse Village,1881.666666666667
50,Coney Island,2300.0
51,Corona,1683.333333333333
52,Crotona Park East,2015.941339927938
53,Crown Heights,1936.333333333333
54,Cypress Hills,1970.795620437956
55,DUMBO,3942.333333333333
56,Dongan Hills,1706.462287104623
57,Douglaston,2216.0
58,Downtown Brooklyn,3172.333333333333
59,Dyker Heights,1916.666666666667
60,East Elmhurst,1906.462287104623
61,East Flatbush,2125.0
62,East Harlem,1966.666666666667
63,East New York,1773.333333333333
64,East Tremont,1949.274673261271
65,East Village,2402.666666666667
66,Elmhurst,1866.333333333333
67,Eltingville,1706.462287104623
68,Far Rockaway,1919.333333333333
69,Financial District,2957.333333333333
70,Flatbush,1845.0
71,Flatiron District,6292.0
72,Flatiron/Union Square,5514.666666666667
73,Flatlands,1933.333333333333
74,Floral Park,2115.941339927938
75,Flushing,1833.333333333333
76,Flushing Meadows-Corona Park,1975.0
77,Fordham Heights,1741.666666666667
78,Fordham Manor,1771.0
79,Forest Hills,1925.0
80,Forest Park,1716.666666666667
81,Fort Greene,2566.666666666667
82,Fort Wadsworth,3654.795620437957
83,Foxhurst,1415.666666666667
84,Fresh Meadows,1989.795620437956
85,Garment District,3366.0
86,Gerritsen Beach,2215.941339927938
87,Glen Oaks,1919.128953771289
88,Glendale,1691.666666666667
89,Gowanus,2116.666666666667
90,Gramercy Park,3142.666666666667
91,Graniteville,1965.941339927938
92,Grant City,1982.608006594605
93,Gravesend,3079.333333333333
94,Great Kills,1723.128953771289
95,Greenpoint,2433.333333333333
96,Greenwich Village,3431.666666666667
97,Greenwood Heights,2033.333333333333
98,Hamilton Heights,2233.0
99,Harlem,2455.666666666667
100,Hell's Kitchen,2884.666666666667
101,Highbridge,1741.666666666667
102,Hillcrest,1923.128953771289
103,Hollis,1873.128953771289
104,Holliswood,1922.128953771289
105,Howard Beach,1741.666666666667
106,Hunts Point,1623.128953771289
107,Inwood,1811.0
108,Jackson Heights,1841.666666666667
109,Jamaica,1871.666666666667
110,Jamaica Estates,1887.666666666667
111,Jamaica Hills,1758.333333333333
112,Kensington,1766.0
113,Kew Gardens,1791.666666666667
114,Kew Gardens Hills,1749.666666666667
115,Kingsbridge,1799.333333333333
116,Kips Bay,2831.333333333333
117,Koreatown,2504.333333333333
118,Laurelton,1561.666666666667
119,Lenox Hill,3566.333333333333
120,Lincoln Center,4393.0
121,Little Italy,3066.0
122,Little Neck,2389.795620437956
123,Long Island City,2590.333333333333
124,Longwood,1808.274673261271
125,Lower East Side,2615.0
126,Manhattan Beach,1873.333333333333
127,Manor Heights,1556.462287104623
128,Mapleton,1786.462287104623
129,Marble Hill,1748.128953771289
130,Marine Park,1923.128953771289
131,Maspeth,1916.666666666667
132,Melrose,1904.795620437956
133,Middle Village,1973.128953771289
134,Midland Beach,1915.941339927938
135,Midtown East,3302.666666666667
136,Midtown West,4135.666666666667
137,Midwood,1962.666666666667
138,Mill Basin,1999.274673261271
139,Morningside Heights,2812.333333333333
140,Morris Heights,1675.0
141,Morris Park,1716.666666666667
142,Morrisania,1975.608006594605
143,Mott Haven,2231.666666666667
144,Mount Eden,1645.0
145,Mount Hope,1571.0
146,Murray Hill,3476.0
147,New Brighton,1949.274673261271
148,New Dorp,1689.795620437956
149,New Springville,1773.128953771289
150,NoHo,4241.0
151,NoLiTa/Little Italy,3932.0
152,NoLita,3004.0
153,NoMad,4956.666666666667
154,Norwood,1576.666666666667
155,Oakwood,1713.128953771289
156,Ocean Hill,1866.666666666667
157,Ozone Park,1916.666666666667
158,Park Slope,2425.0
159,Park/Fifth Ave. to 79th St.,6999.0
160,Parkchester,1996.333333333333
161,Pelham Bay,1583.333333333333
162,Pelham Parkway,1916.333333333333
163,Pomonok,1939.795620437956
164,Prospect Heights,2330.333333333333
165,Prospect Lefferts Gardens,2312.666666666667
166,Prospect Park,2933.333333333333
167,Queens Village,1783.0
168,Red Hook,2383.333333333333
169,Rego Park,1941.0
170,Richmond Hill,1783.333333333333
171,Ridgewood,1870.333333333333
172,Riverdale,1941.666666666667
173,Riverside Dr./West End Ave.,3903.333333333333
174,Rochdale,2065.274673261271
175,Rockaway Beach,1833.333333333333
176,Roosevelt Island,3380.666666666667
177,Rosebank,1806.462287104623
178,Rosedale,2048.12895377129
179,Sheepshead Bay,1811.666666666667
180,Silver Lake,2049.274673261271
181,SoHo,5952.0
182,Soho,3048.333333333333
183,South Beach,1949.274673261271
184,South Jamaica,2049.274673261271
185,South Ozone Park,1874.128953771289
186,South Slope - Greenwood Heights,2476.0
187,St. Albans,1923.128953771289
188,St. George,1998.666666666667
189,Stapleton,2327.666666666667
190,Stuyvesant Town - Peter Cooper Village,3785.333333333333
191,Sunset Park,3175.0
192,Theater District,3524.333333333333
193,Throgs Neck,2326.333333333333
194,Tompkinsville,2235.795620437956
195,Travis - Chelsea,1949.274673261271
196,Tribeca,3987.666666666667
197,Turtle Bay/United Nations,3600.0
198,Two Bridges,2226.666666666667
199,Unionport,1608.333333333333
200,University Heights,1648.333333333333
201,Upper East Side,2529.333333333333
202,Upper West Side,3025.0
203,Van Cortlandt Park,1627.666666666667
204,Van Nest,2031.462287104623
205,Vinegar Hill,3200.0
206,Wakefield,1625.0
207,Washington Heights,1862.666666666667
208,West Brighton,2073.12895377129
209,West Farms,1739.795620437956
210,West Harlem,2328.0
211,West Village,3535.0
212,Westchester Village,1508.333333333333
213,Westerleigh,1689.795620437956
214,Whitestone,2056.12895377129
215,Williamsbridge,1939.795620437956
216,Williamsburg,2525.0
217,Willowbrook,1589.795620437956
218,Windsor Terrace,2349.333333333333
219,Woodhaven,1702.333333333333
220,Woodlawn Heights,1939.795620437956
221,Woodside,1807.666666666667
222,Woodstock,1999.274673261271
223,Yorkville,3078.0
